Task;pddlHasTypes;pddlMarksTotalNumActions;pddlMaxNegationsPerEffect;pddlMaxParamsPerPredicate;pddlMaxPredicatesPerEffect;pddlMaxPredicatesPerPrecondition;pddlMeanNegationsPerEffect;pddlMeanParamsPerPredicate;pddlMeanPredicatesPerEffect;pddlMeanPredicatesPerPrecondition;pddlMinNegationsPerEffect;pddlMinParamsPerPredicate;pddlMinPredicatesPerEffect;pddlMinPredicatesPerPrecondition;pddlNumActions;pddlNumConstants;pddlNumConstantsAndObjects;pddlNumEqualityInitialConditions;pddlNumFunctionAssignmentsInInitialConditions;pddlNumGoals;pddlNumInitialConditions;pddlNumObjects;pddlNumPredicates;pddlNumTypes;pddlRatioActionsWithNegativeEffectsOverActions;pddlRequiresADL;pddlRequiresActionCosts;pddlRequiresConditionalEffects;pddlRequiresConstraints;pddlRequiresContinuousEffects;pddlRequiresDerivedPredicates;pddlRequiresDisjunctivePreconditions;pddlRequiresDomainAxioms;pddlRequiresDurationInequalities;pddlRequiresDurativeActions;pddlRequiresEquality;pddlRequiresExistentialPreconditions;pddlRequiresFluents;pddlRequiresNegation;pddlRequiresNegativePreconditions;pddlRequiresNumericFluents;pddlRequiresObjectFluents;pddlRequiresPreferences;pddlRequiresQuantifiedPreconditions;pddlRequiresSafetyConstraints;pddlRequiresStrips;pddlRequiresTimedInitialLiterals;pddlRequiresTyping;pddlRequiresUniversalPreconditions
agricola-strips:2-p09.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;88;88;5;1;270;48;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p10.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;86;86;3;1;266;46;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p11.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;88;88;4;1;270;48;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p12.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;5;1;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p13.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;88;88;3;1;270;48;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p14.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;4;1;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p16.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;3;1;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:3-p12.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;83;83;4;2;259;43;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:3-p13.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;86;86;4;2;266;46;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-adl:0-p01-airport1-p1.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;21;21;0;1;71;21;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p02-airport1-p1.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;21;21;0;1;74;21;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p03-airport1-p2.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;22;22;0;2;81;22;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p04-airport2-p1.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;44;44;0;1;183;44;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p05-airport2-p1.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;44;44;0;1;188;44;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p06-airport2-p2.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;45;45;0;2;195;45;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p07-airport2-p2.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;45;45;0;2;195;45;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p08-airport2-p3.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;46;46;0;3;205;46;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p09-airport2-p4.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;47;47;0;4;212;47;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p10-airport3-p1.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;48;48;0;1;213;48;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p11-airport3-p1.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;48;48;0;1;218;48;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p12-airport3-p2.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;49;49;0;2;225;49;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p13-airport3-p2.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;49;49;0;2;225;49;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p14-airport3-p3.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;50;50;0;3;235;50;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p15-airport3-p3.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;50;50;0;3;237;50;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p16-airport3-p4.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;51;51;0;4;247;51;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p21-airport4halfMUC-p2.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;307;307;0;2;1534;307;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p22-airport4halfMUC-p3.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;308;308;0;3;1546;308;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-adl:0-p36-airport5MUC-p2.pddl;1;5;5;4;10;9;3.4;2.2;6.0;5.0;1;1;2;1;5;0;462;462;0;2;2227;462;15;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport-strips:0-p02.pddl;1;953;15;2;30;17;3.70828961175;1.66666666667;7.41448058762;5.05351521511;1;1;2;2;953;310;310;310;0;3;1220;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p03.pddl;1;953;15;2;30;18;3.70828961175;1.66666666667;7.41448058762;5.38614900315;1;1;2;2;953;311;311;311;0;4;1526;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p04.pddl;1;959;15;2;30;18;3.72054223149;1.66666666667;7.43899895725;5.40875912409;1;1;2;2;959;311;311;311;0;4;1526;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p05.pddl;1;959;15;2;30;19;3.72054223149;1.66666666667;7.43899895725;5.74556830031;1;1;2;2;959;312;312;312;0;5;1832;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p06.pddl;1;959;15;2;30;20;3.72054223149;1.66666666667;7.43899895725;6.08237747654;1;1;2;2;959;313;313;313;0;6;2138;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p07.pddl;1;965;15;2;30;20;3.73264248705;1.66666666667;7.46321243523;6.11295336788;1;1;2;2;965;313;313;313;0;6;2138;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p08.pddl;1;965;15;2;30;21;3.73264248705;1.66666666667;7.46321243523;6.45388601036;1;1;2;2;965;314;314;314;0;7;2444;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p09.pddl;1;965;15;2;30;22;3.73264248705;1.66666666667;7.46321243523;6.79481865285;1;1;2;2;965;315;315;315;0;8;2750;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p10.pddl;1;971;15;2;30;22;3.74459320288;1.66666666667;7.48712667353;6.83316168898;1;1;2;2;971;315;315;315;0;8;2750;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p11.pddl;1;971;15;2;30;23;3.74459320288;1.66666666667;7.48712667353;7.17816683831;1;1;2;2;971;316;316;316;0;9;3056;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p12.pddl;1;971;15;2;30;24;3.74459320288;1.66666666667;7.48712667353;7.52317198764;1;1;2;2;971;317;317;317;0;10;3362;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p13.pddl;1;974;15;2;30;24;3.75051334702;1.66666666667;7.49897330595;7.54620123203;1;1;2;2;974;317;317;317;0;10;3362;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p14.pddl;1;974;15;2;30;25;3.75051334702;1.66666666667;7.49897330595;7.8932238193;1;1;2;2;974;318;318;318;0;11;3668;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p15.pddl;1;974;15;2;30;26;3.75051334702;1.66666666667;7.49897330595;8.24024640657;1;1;2;2;974;319;319;319;0;12;3974;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p16.pddl;1;1360;15;2;30;16;3.72279411765;1.66666666667;7.44264705882;4.73014705882;1;1;2;2;1360;464;464;464;0;2;1379;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p17.pddl;1;1368;15;2;30;17;3.73464912281;1.66666666667;7.46637426901;5.07236842105;1;1;2;2;1368;465;465;465;0;3;1840;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p18.pddl;1;1365;15;2;30;17;3.7304029304;1.66666666667;7.45787545788;5.06593406593;1;1;2;2;1365;465;465;465;0;3;1840;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p19.pddl;1;1373;15;2;30;18;3.74217042972;1.66666666667;7.48142753095;5.41442097597;1;1;2;2;1373;466;466;466;0;4;2301;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p20.pddl;1;1368;15;2;30;18;3.73464912281;1.66666666667;7.46637426901;5.40131578947;1;1;2;2;1368;466;466;466;0;4;2301;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
airport-strips:0-p21.pddl;1;1365;15;2;30;18;3.7304029304;1.66666666667;7.45787545788;5.39340659341;1;1;2;2;1365;466;466;466;0;4;2301;0;12;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
